vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
snv,H2,<5%,0.5,1292,0.3026315789473684,0.2781971349316814,0.3282362010844887,5.024770729209811e-47,True,1.5074312187629433e-46,True,NV_T_1,strict,shared3,truth
pooled,H1,>=20%,0.8,28844,0.9695257245874359,0.9674786905522307,0.9714477119193142,0.0,True,0.0,True,NV_T_1,strict,shared3,truth
pooled,H2,<5%,0.5,1394,0.30774748923959827,0.2840737744662991,0.3324778762107362,4.920307756084689e-48,True,4.920307756084689e-48,True,NV_T_1,strict,shared3,truth
indel,H1,>=20%,0.8,814,0.9090909090909091,0.8873734236694447,0.9269653369998351,1.450976574188191e-17,True,2.901953148376382e-17,True,FD_T_1,strict,shared3,truth
indel,H2,<5%,0.5,102,0.18627450980392157,0.12262079699482112,0.27270121846962636,5.0791297894488576e-11,True,5.0791297894488576e-11,True,FD_T_1,strict,shared3,truth
snv,H1,>=20%,0.8,28030,0.9771673207277917,0.9753521963563454,0.9788516732522294,0.0,True,0.0,True,FD_T_1,strict,shared3,truth
snv,H2,<5%,0.5,1292,0.17956656346749225,0.1595968064929178,0.20143613903921725,5.901317667059134e-127,True,1.77039530011774e-126,True,FD_T_1,strict,shared3,truth
pooled,H1,>=20%,0.8,28844,0.9752461517126612,0.973388792921675,0.976976940304341,0.0,True,0.0,True,FD_T_1,strict,shared3,truth
pooled,H2,<5%,0.5,1394,0.1800573888091822,0.16077481647257902,0.20109845293771123,2.25417452056458e-136,True,2.25417452056458e-136,True,FD_T_1,strict,shared3,truth
indel,H1,>=20%,0.8,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,8.270429497591854e-07,True,8.270429497591854e-07,True,NS_T_1,strict,shared3,truth
indel,H2,<5%,0.5,102,0.24509803921568626,0.17188155492783067,0.3368175826370329,1.2259556692995322e-07,True,2.4519113385990644e-07,True,NS_T_1,strict,shared3,truth
snv,H1,>=20%,0.8,28030,0.8978951123795933,0.8942957687045481,0.9013854094445686,0.0,True,0.0,True,NS_T_1,strict,shared3,truth
snv,H2,<5%,0.5,1292,0.20588235294117646,0.184721715408925,0.22878678532105406,8.570881466180527e-106,True,2.571264439854158e-105,True,NS_T_1,strict,shared3,truth
pooled,H1,>=20%,0.8,28844,0.8969629732353349,0.8934015869908338,0.900418638092175,0.0,True,0.0,True,NS_T_1,strict,shared3,truth
pooled,H2,<5%,0.5,1394,0.20875179340028693,0.1882317091993016,0.23087265712486393,1.1618685865273608e-111,True,1.1618685865273608e-111,True,NS_T_1,strict,shared3,truth
indel,H1,>=20%,0.8,814,0.6842751842751843,0.6515424576002814,0.7152768039624574,0.9999999999999976,False,1.0,False,NS_380X,strict,shared3,truth
indel,H2,<5%,0.5,102,0.39215686274509803,0.302975181892627,0.48916676092327677,0.018533383719280292,True,0.05560015115784088,False,NS_380X,strict,shared3,truth
snv,H1,>=20%,0.8,28030,0.7146628612201213,0.709347250054495,0.7199196421649291,1.0,False,1.0,False,NS_380X,strict,shared3,truth
snv,H2,<5%,0.5,1292,0.19349845201238391,0.17287921039277238,0.21593491142057425,1.9254499451499625e-115,True,7.70179978059985e-115,True,NS_380X,strict,shared3,truth
pooled,H1,>=20%,0.8,28844,0.7138052974622106,0.708561054791986,0.7189925983160418,1.0,False,1.0,False,NS_380X,strict,shared3,truth
pooled,H2,<5%,0.5,1394,0.20803443328550933,0.18754322687551425,0.23013036202580442,3.057801393282953e-112,True,6.115602786565906e-112,True,NS_380X,strict,shared3,truth
indel,H1,>=20%,0.8,19452,0.3626876413736377,0.3559590721143756,0.3694704339130751,1.0,False,1.0,False,IL_T_1,strict,shared3,union
indel,H2,<5%,0.5,17556,0.001822738664843928,0.0012914876126710797,0.0025719560852568344,0.0,True,0.0,True,IL_T_1,strict,shared3,union
snv,H1,>=20%,0.8,130029,0.699567019664844,0.6970693351127745,0.7020529129112801,1.0,False,1.0,False,IL_T_1,strict,shared3,union
snv,H2,<5%,0.5,54199,0.000571966272440451,0.0004029943947335415,0.0008117289859717965,0.0,True,0.0,True,IL_T_1,strict,shared3,union
